Full Class Sched- ALL COLLEGES,   ,,,,,,,,,,,
Subject,Catalog,Section,Descr,Component,Name,Tot Enrl,Facil ID,Start Date,End Date,Mtg Pat,Mtg Start,Mtg End
BIOL, 327,01,BIOL OF HUMAN REPRODUCTION,LEC,"Stansfield,Daun B",77,ONLINE,1/23/17,5/12/17,,,
BIOL, 336,02,COASTAL ENVIRONMENTS,LEC,"Simokat,Christine A",57,SCI2 242,1/23/17,5/12/17,MWF,12:30:00 PM,1:20:00 PM
BIOL, 336,04,COASTAL ENVIRONMENTS,LEC,"Simokat,Christine A",58,MARK 208,1/23/17,5/12/17,TR,9:00:00 AM,10:15:00 AM
BIOL, 336,05,COASTAL ENVIRONMENTS,LEC,"Kappus,Sara M",56,MARK 208,1/23/17,5/12/17,TR,10:30:00 AM,11:45:00 AM
BIOL, 351,10,MOLECULAR CELL BIOLOGY,LEC,"Kim,Jane C",43,ACD 411A,1/23/17,5/12/17,TR,10:30:00 AM,11:45:00 AM
BIOL, 351,11A,MOLECULAR CELL BIOLOGY,LE2,"Kai,Zoya",24,SCI2 145,1/23/17,5/12/17,T,1:00:00 PM,1:50:00 PM
BIOL, 351,12B,MOLECULAR CELL BIOLOGY,LAB,"Kai,Zoya",24,SCI2 145,1/23/17,5/12/17,T,2:00:00 PM,4:45:00 PM
BIOL, 351,13A,MOLECULAR CELL BIOLOGY,LE2,"Kai,Zoya",19,SCI2 145,1/23/17,5/12/17,R,1:00:00 PM,1:50:00 PM
BIOL, 351,14B,MOLECULAR CELL BIOLOGY,LAB,"Kai,Zoya",19,SCI2 145,1/23/17,5/12/17,R,2:00:00 PM,4:45:00 PM
BIOL, 351,20,MOLECULAR CELL BIOLOGY,LEC,"Kim,Jane C",39,MARK 310,1/23/17,5/12/17,TR,2:30:00 PM,3:45:00 PM
BIOL, 351,21A,MOLECULAR CELL BIOLOGY,LE2,"Kim,Jane C",22,SCI2 145,1/23/17,5/12/17,M,1:00:00 PM,1:50:00 PM
BIOL, 351,22B,MOLECULAR CELL BIOLOGY,LAB,"Kim,Jane C",22,SCI2 145,1/23/17,5/12/17,M,2:00:00 PM,4:45:00 PM
BIOL, 351,23A,MOLECULAR CELL BIOLOGY,LE2,"Stansfield,Daun B",17,SCI2 145,1/23/17,5/12/17,W,8:30:00 AM,9:20:00 AM
BIOL, 351,24B,MOLECULAR CELL BIOLOGY,LAB,"Stansfield,Daun B",17,SCI2 145,1/23/17,5/12/17,W,9:30:00 AM,12:15:00 PM
BIOL, 351,30,MOLECULAR CELL BIOLOGY,LEC,"Stansfield,Daun B",44,MARK 106,1/23/17,5/12/17,TR,7:30:00 AM,8:45:00 AM
BIOL, 351,31A,MOLECULAR CELL BIOLOGY,LE2,"Stansfield,Daun B",25,SCI2 145,1/23/17,5/12/17,W,2:30:00 PM,3:20:00 PM
BIOL, 351,32B,MOLECULAR CELL BIOLOGY,LAB,"Stansfield,Daun B",25,SCI2 145,1/23/17,5/12/17,W,3:30:00 PM,6:15:00 PM
BIOL, 351,33A,MOLECULAR CELL BIOLOGY,LE2,"Stansfield,Daun B",19,SCI2 145,1/23/17,5/12/17,F,9:30:00 AM,10:20:00 AM
